Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,Thrust (N),Thrust (lb),Mass (kg),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (m),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,24.04493153,53.01,0,0,68.69,79.56271,2.124359,0,0,0,0,0,0,89.9999,89.9999,0,0,0
0.01,S,0.01,0.01,0,0.3160919,994.8300851,223.6467,24.04493153,53.01,0,0,68.67408,79.56271,2.12747,103.5666238,103.5666238,0.000236912,1.035666,1.035666,2.37E-06,89.9999,89.9999,0.001578355,0.00517833,1.18E-08
0.02,S,0.02,0.01,0,0.3160919,1984.783585,446.1971,24.04227802,53.00415,5.89E-05,0,68.65815,79.56271,2.130582,238.67164,238.67164,0.000472715,3.422382,3.422382,7.10E-06,89.9999,89.9999,0.00837242,0.02746857,5.92E-08
0.03,S,0.03,0.01,0,0.3160919,2974.737085,668.7475,24.03432201,52.98661,0.000642741,0,68.64223,79.56271,2.133693,373.8957499,373.8957499,0.000708725,7.16134,7.16134,1.42E-05,89.9999,89.9999,0.024502012,0.08038718,1.66E-07
0.04,S,0.04,0.01,0,0.3160917,3964.691029,891.298,24.02106804,52.95739,0.002814277,0,68.6263,79.56271,2.136805,509.3280133,509.3280133,0.000945099,12.25462,12.25462,2.36E-05,89.9999,89.9999,0.054091942,0.177467,3.55E-07
0.05,S,0.05,0.01117201,0,0.3210026,4358.702935,979.8754,24.00250704,52.91647,0.008368975,0,68.61037,79.56271,2.139916,563.5997931,563.5997931,0.001039821,17.89062,17.89062,3.40E-05,89.9999,89.9999,0.100033287,0.3281932,6.43E-07
0.05999999,S,0.05999999,0.01631012,0,0.3287485,4451.015098,1000.628,23.98023565,52.86737,0.01826741,0,68.59445,79.56271,2.143028,576.7767879,576.7767879,0.00106282,23.65839,23.65839,4.47E-05,89.9999,89.9999,0.163353994,0.5359383,1.04E-06
0.06999999,S,0.06999999,0.02156837,0,0.3275826,4467.904996,1004.425,23.9565037,52.81505,0.03183107,0,68.57853,79.56271,2.14614,579.6847183,579.6847183,0.001067895,29.45524,29.45524,5.53E-05,89.9999,89.9999,0.244299151,0.8015064,1.54E-06
0.07999999,S,0.07999999,0.02685314,0,0.3238244,4484.794893,1008.222,23.93264021,52.76244,0.04877442,0,68.5626,79.56271,2.149251,582.59982,582.59982,0.001072983,35.28124,35.28124,6.61E-05,89.9999,89.9999,0.342957607,1.125189,2.14E-06
0.08999999,S,0.08999999,0.03216451,0,0.3193626,4501.684791,1012.019,23.90868599,52.70963,0.06901216,0,68.54668,79.56271,2.152363,585.5210961,585.5210961,0.001078081,41.13645,41.13645,7.69E-05,89.9999,89.9999,0.45941803,1.507277,2.86E-06
0.09999999,S,0.09999999,0.03750252,0,0.3194707,4518.574688,1015.816,23.88464106,52.65662,0.09385008,0,68.53075,79.56271,2.155474,588.4480848,588.4480848,0.00108319,47.02093,47.02093,8.77E-05,89.9999,89.9999,0.593769907,1.948064,3.68E-06
0.11,S,0.11,0.04286724,0,0.3195976,4510.710233,1014.048,23.86050541,52.60341,0.122668,0,68.51482,79.56271,2.158586,587.976369,587.976369,0.001082367,52.9007,52.9007,9.85E-05,89.9999,89.9999,0.746050426,2.447672,4.61E-06
0.12,S,0.12,0.04822769,0,0.3192137,4500.092328,1011.661,23.83633801,52.55013,0.1550758,0,68.4989,79.56271,2.161697,587.1237231,587.1237231,0.001080878,58.77194,58.77194,0.000109315,89.9999,89.9999,0.916239468,3.006035,5.65E-06
0.13,S,0.13,0.05358041,0,0.3185322,4489.474423,1009.274,23.81222958,52.49698,0.1909973,0,68.48298,79.56271,2.164809,586.2658655,586.2658655,0.001079381,64.6346,64.6346,0.000120109,89.9999,89.9999,1.104311126,3.623068,6.80E-06
0.14,S,0.14,0.05892533,0,0.3176768,4478.856518,1006.887,23.78817557,52.44395,0.230379,0,68.46706,79.56271,2.16792,585.4028432,585.4028432,0.001077875,70.48862,70.48862,0.000130887,89.9999,89.9999,1.310238883,4.298684,8.05E-06
0.15,S,0.15,0.06426241,0,0.3167219,4468.238613,1004.5,23.76418054,52.39105,0.2731721,0,68.45113,79.56271,2.171031,584.5345269,584.5345269,0.001076359,76.33396,76.33396,0.000141651,89.9999,89.9999,1.533996526,5.032797,9.42E-06
0.16,S,0.16,0.06959162,0,0.3157139,4457.625156,1002.114,23.74023993,52.33827,0.3193314,0,68.4352,79.56271,2.174143,583.6610847,583.6610847,0.001074835,82.17057,82.17057,0.000152399,89.9999,89.9999,1.775557231,5.825319,1.09E-05
0.17,S,0.17,0.07491291,0,0.3146819,4447.010809,999.7278,23.71635829,52.28562,0.3688148,0,68.41928,79.56271,2.177254,582.7823455,582.7823455,0.001073301,87.99839,87.99839,0.000163132,89.9999,89.9999,2.034894787,6.676164,1.25E-05
0.18,S,0.18,0.08022624,0,0.3136447,4436.396908,997.3417,23.69253109,52.23309,0.4215823,0,68.40335,79.56271,2.180366,581.8985625,581.8985625,0.001071759,93.81738,93.81738,0.00017385,89.9999,89.9999,2.311982066,7.585243,1.41E-05
0.19,S,0.19,0.08553156,0,0.3126146,4425.784341,994.9559,23.66876285,52.18069,0.4775965,0,68.38743,79.56271,2.183477,581.0095741,581.0095741,0.001070207,99.62748,99.62748,0.000184552,89.9999,89.9999,2.606791942,8.552467,1.59E-05
0.2,S,0.2,0.09082884,0,0.3115948,4424.242142,994.6092,23.64505357,52.12842,0.5368136,0,68.37151,79.56271,2.186589,581.3739007,581.3739007,0.001070843,105.4412,105.4412,0.000195261,89.9999,89.9999,2.919316488,9.57781,1.78E-05
0.21,S,0.21,0.09612948,0,0.3105972,4422.700389,994.2626,23.62137605,52.07622,0.5993524,0,68.35558,79.56271,2.1897,581.7361683,581.7361683,0.001071475,111.2586,111.2586,0.000205975,89.9999,89.9999,3.249567288,10.66131,1.98E-05
0.22,S,0.22,0.1014335,0,0.3096203,4421.159525,993.9162,23.59770306,52.02403,0.6651955,0,68.33965,79.56271,2.192812,582.097044,582.097044,0.001072105,117.0796,117.0796,0.000216696,89.9999,89.9999,3.5975544,11.803,2.20E-05
0.23,S,0.23,0.1067409,0,0.3086662,4419.61955,993.57,23.57404369,51.97187,0.7343313,0,68.32373,79.56271,2.195924,582.4564926,582.4564926,0.001072733,122.9042,122.9042,0.000227424,89.9999,89.9999,3.963290016,13.00292,2.42E-05
0.24,S,0.24,0.1120517,0,0.3077359,4418.080021,993.2239,23.55038884,51.91972,0.8067503,0,68.3078,79.56271,2.199035,582.8144775,582.8144775,0.001073357,128.7323,128.7323,0.000238157,89.9999,89.9999,4.34678328,14.2611,2.65E-05
0.25,S,0.25,0.1173657,0,0.3068297,4416.541826,992.8781,23.52674307,51.86759,0.8824433,0,68.29188,79.56271,2.202147,583.1460209,583.1460209,0.001139756,134.5637601,134.5637601,0.000249555,89.99989,89.99989,4.756934352,15.60674,2.89E-05
0.26,S,0.26,0.1226828,0,0.3059477,4415.00452,992.5325,23.50310638,51.81548,0.9613988,0,68.27596,79.56271,2.205258,583.5000804,583.5000804,0.001143143,140.3987608,140.3987608,0.000260986,89.99989,89.99989,5.184870504,17.01073,3.15E-05
0.27,S,0.27,0.1280033,0,0.3050896,4413.468105,992.1871,23.47947875,51.76339,1.043612,0,68.26003,79.56271,2.208369,583.8528923,583.8528923,0.001146423,146.2372895,146.2372895,0.00027245,89.99989,89.99989,5.63060088,18.4731,3.42E-05
0.28,S,0.28,0.1333271,0,0.3042549,4411.932134,991.8418,23.45585566,51.71131,1.129077,0,68.2441,79.56271,2.211481,584.2041385,584.2041385,0.001149604,152.0793308,152.0793308,0.000283946,89.99989,89.99989,6.094137672,19.99389,3.69E-05
0.29,S,0.29,0.1386541,0,0.3034431,4410.397052,991.4967,23.43224618,51.65926,1.217786,0,68.22818,79.56271,2.214592,584.5540098,584.5540098,0.001152693,157.9248708,157.9248708,0.000295473,89.99989,89.99989,6.575493072,21.57314,3.98E-05
0.3,S,0.3,0.1439844,0,0.3026533,4408.862861,991.1518,23.40864123,51.60722,1.309734,0,68.21225,79.56271,2.217704,584.9024983,584.9024983,0.001155697,163.7738956,163.7738956,0.00030703,89.99989,89.99989,7.074676224,23.21088,4.29E-05
0.31,S,0.31,0.149318,0,0.3018849,4407.329559,990.8071,23.38504535,51.5552,1.404915,0,68.19633,79.56271,2.220815,585.2495086,585.2495086,0.001158621,169.6263906,169.6263906,0.000318617,89.99989,89.99989,7.59169932,24.90715,4.60E-05
0.32,S,0.32,0.1546549,0,0.3011372,4405.796702,990.4625,23.36145855,51.5032,1.503324,0,68.1804,79.56271,2.223927,585.5951837,585.5951837,0.001161471,175.4823423,175.4823423,0.000330231,89.99989,89.99989,8.126568456,26.66197,4.92E-05
0.33,S,0.33,0.159995,0,0.3004093,4404.264734,990.1181,23.33788082,51.45122,1.604955,0,68.16447,79.56271,2.227038,585.9392694,585.9392694,0.001164251,181.3417348,181.3417348,0.000341874,89.99989,89.99989,8.679298872,28.47539,5.26E-05
0.3399999,S,0.3399999,0.1653383,0,0.2997006,4402.734101,989.774,23.31430762,51.39925,1.709804,0,68.14855,79.56271,2.23015,586.2821631,586.2821631,0.001166966,187.2045563,187.2045563,0.000353543,89.99989,89.99989,9.249896664,30.34743,5.61E-05
0.3499999,S,0.3499999,0.1706849,0,0.2990103,4401.203468,989.4299,23.29074804,51.34731,1.817868,0,68.13263,79.56271,2.233261,586.6234036,586.6234036,0.001169618,193.0707902,193.0707902,0.00036524,89.99989,89.99989,9.838377072,32.27814,5.97E-05
0.3599999,S,0.3599999,0.1760347,0,0.2983376,4399.674169,989.0861,23.26719298,51.29538,1.92914,0,68.11671,79.56271,2.236373,586.9632932,586.9632932,0.001172213,198.940423,198.940423,0.000376962,89.99989,89.99989,10.44474619,34.26754,6.34E-05
0.3699999,S,0.3699999,0.1813877,0,0.2976819,4398.145316,988.7424,23.243647,51.24347,2.04362,0,68.10078,79.56271,2.239484,587.3017999,587.3017999,0.001174752,204.8134409,204.8134409,0.000388709,89.99989,89.99989,11.06901926,36.31568,6.72E-05
0.3799999,S,0.3799999,0.1867439,0,0.2970425,4396.617351,988.3989,23.2201101,51.19158,2.161301,0,68.08485,79.56271,2.242596,587.6388602,587.6388602,0.00117724,210.6898294,210.6898294,0.000400482,89.99989,89.99989,11.71120238,38.42258,7.11E-05
0.3899999,S,0.3899999,0.1921033,0,0.2964187,4397.555037,988.6097,23.19658226,51.13971,2.282182,0,68.06893,79.56271,2.245707,588.323042,588.323042,0.001180341,216.5730597,216.5730597,0.000412285,89.99989,89.99989,12.37131689,40.58831,7.52E-05
0.3999999,S,0.3999999,0.1974691,0,0.2958096,4398.493167,988.8206,23.17305442,51.08784,2.406332,0,68.053,79.56271,2.248819,589.0066199,589.0066199,0.001183397,222.4631257,222.4631257,0.000424119,89.99989,89.99989,13.04938411,42.81294,7.94E-05
0.4099999,S,0.4099999,0.2028412,0,0.2952147,4399.432186,989.0317,23.14952205,51.03596,2.533756,0,68.03708,79.56271,2.25193,589.6897289,589.6897289,0.001186414,228.3600229,228.3600229,0.000435983,89.99989,89.99989,13.74542539,45.09654,8.37E-05
0.4199999,S,0.4199999,0.2082197,0,0.2946333,4400.371651,989.2429,23.12598514,50.98407,2.664455,0,68.02116,79.56271,2.255042,590.3723133,590.3723133,0.001189391,234.2637459,234.2637459,0.000447877,89.99989,89.99989,14.45945902,47.43917,8.81E-05
0.4299999,S,0.4299999,0.2136046,0,0.294065,4401.312449,989.4544,23.1024437,50.93217,2.798434,0,68.00523,79.56271,2.258153,591.0546117,591.0546117,0.001192331,240.1742919,240.1742919,0.0004598,89.99989,89.99989,15.19151242,49.84092,9.27E-05
0.4399998,S,0.4399998,0.2189957,0,0.2935092,4402.253693,989.666,23.07889772,50.88026,2.935694,0,67.9893,79.56271,2.261265,591.7364094,591.7364094,0.001195235,246.0916558,246.0916558,0.000471753,89.99989,89.99989,15.94159778,52.30183,9.73E-05
0.4499998,S,0.4499998,0.2243933,0,0.2929656,4403.195826,989.8778,23.0553472,50.82834,3.07624,0,67.97338,79.56271,2.264376,592.4177064,592.4177064,0.001198106,252.0158328,252.0158328,0.000483734,89.99989,89.99989,16.70974255,54.82199,0.000102086
0.4599998,S,0.4599998,0.2297972,0,0.2924336,4404.138849,990.0898,23.03179215,50.77641,3.220075,0,67.95745,79.56271,2.267488,593.0986775,593.0986775,0.001200945,257.9468194,257.9468194,0.000495743,89.99989,89.99989,17.49596501,57.40146,0.000106984
0.4699998,S,0.4699998,0.2352075,0,0.2919129,4405.082317,990.3019,23.00822803,50.72446,3.367202,0,67.94153,79.56271,2.270599,593.7790924,593.7790924,0.001203752,263.8846102,263.8846102,0.000507781,89.99989,89.99989,18.30028649,60.04031,0.000112001
0.4799998,S,0.4799998,0.2406241,0,0.291403,4406.027119,990.5143,22.9846639,50.67251,3.517626,0,67.92561,79.56271,2.273711,594.4591099,594.4591099,0.001206531,269.8292012,269.8292012,0.000519846,89.99989,89.99989,19.12272528,62.7386,0.000117139
0.4899998,S,0.4899998,0.2460471,0,0.2909035,4406.971922,990.7267,22.96109071,50.62054,3.67135,0,67.90968,79.56271,2.276822,595.138587,595.1385869,0.00120928,275.7805869,275.7805869,0.000531939,89.99989,89.99989,19.96330577,65.49641,0.000122398
0.4999998,S,0.4999998,0.2514764,0,0.2904384,4407.918058,990.9394,22.93751751,50.56857,3.828696,0,67.89375,79.56271,2.279934,595.8174918,595.8174918,0.001212002,281.7387617,281.7387617,0.000544059,89.99989,89.99989,20.82204624,68.3138,0.000127778
0.5099998,S,0.5099998,0.2569121,0,0.2900478,4408.865085,991.1523,22.91393525,50.51658,3.99027,0,67.87783,79.56271,2.283045,596.4952761,596.4952761,0.001214696,287.7037143,287.7037143,0.000556206,89.99989,89.99989,21.69896498,71.19083,0.00013328
0.5199998,S,0.5199998,0.2623542,0,0.2896668,4409.813001,991.3654,22.89034844,50.46458,4.155263,0,67.8619,79.56271,2.286157,597.1726472,597.1726472,0.001217366,293.6754407,293.6754407,0.00056838,89.99989,89.99989,22.59408943,74.12759,0.000138903
0.5299998,S,0.5299998,0.2678026,0,0.289295,4410.761362,991.5786,22.8667571,50.41257,4.323683,0,67.84598,79.56271,2.289268,597.8493665,597.8493665,0.00122001,299.6539342,299.6539342,0.00058058,89.99989,89.99989,23.50743178,77.12412,0.000144647
0.5399998,S,0.5399998,0.2732573,0,0.288932,4411.710612,991.792,22.84316576,50.36056,4.495533,0,67.83006,79.56271,2.29238,598.5255137,598.5255137,0.001222632,305.6391892,305.6391892,0.000592806,89.99989,89.99989,24.43901945,80.18051,0.000150514
0.5499998,S,0.5499998,0.2787184,0,0.2885776,4412.660308,992.0055,22.81956535,50.30853,4.670828,0,67.81413,79.56271,2.295491,599.2010807,599.2010807,0.001225231,311.6311999,311.6311999,0.000605058,89.99989,89.99989,25.38887074,83.29682,0.000156504
0.5599998,S,0.5599998,0.2841858,0,0.2882315,4413.610893,992.2192,22.79596041,50.25649,4.849569,0,67.7982,79.56271,2.298603,599.8761311,599.8761311,0.001227808,317.6299611,317.6299611,0.000617336,89.99989,89.99989,26.35700698,86.47312,0.000162616
0.5699998,S,0.5699998,0.2896596,0,0.2878934,4414.562812,992.4332,22.77235092,50.20444,5.03177,0,67.78228,79.56271,2.301714,600.5506968,600.5506968,0.001230364,323.6354679,323.6354679,0.00062964,89.99989,89.99989,27.34344646,89.70947,0.00016885
0.5799997,S,0.5799997,0.2951396,0,0.2875631,4415.515176,992.6473,22.74873237,50.15237,5.217436,0,67.76636,79.56271,2.304826,601.2245948,601.2245948,0.001232899,329.6477137,329.6477137,0.000641969,89.99989,89.99989,28.34821356,93.00595,0.000175208
0.5899997,S,0.5899997,0.3006261,0,0.2872404,4416.46843,992.8616,22.72511381,50.1003,5.406575,0,67.75043,79.56271,2.307937,601.8979048,601.8979048,0.001235415,335.6666926,335.6666926,0.000654323,89.99989,89.99989,29.37132658,96.36262,0.00018169
0.5999997,S,0.5999997,0.3061188,0,0.286925,4417.422129,993.076,22.70149072,50.04822,5.599198,0,67.7345,79.56271,2.311049,602.5706029,602.5706029,0.001237912,341.6923985,341.6923985,0.000666702,89.99989,89.99989,30.41280379,99.77954,0.000188295
0.6099997,S,0.6099997,0.311618,0,0.2866454,4418.377162,993.2907,22.6778631,49.99613,5.795892,0,67.71858,79.56271,2.31416,603.2424903,603.2424903,0.00124039,347.7248233,347.7248233,0.000679106,89.99989,89.99989,31.47267264,103.2568,0.000195024
0.6199997,S,0.6199997,0.3171234,0,0.2867116,4419.333085,993.5056,22.6542264,49.94402,6.003219,0,67.70265,79.56271,2.317272,603.9089974,603.9089974,0.00124284,353.7639131,353.7639131,0.000691535,89.99989,89.99989,32.55093312,106.7944,0.000201877
0.6299997,S,0.6299997,0.3226352,0,0.2867779,4420.289452,993.7206,22.6305897,49.89191,6.214448,0,67.68673,79.56271,2.320383,604.5746064,604.5746064,0.001245273,359.809659,359.809659,0.000703987,89.99989,89.99989,33.647634,110.3925,0.000208855
0.6399997,S,0.6399997,0.3281532,0,0.2868442,4421.24671,993.9358,22.60694393,49.83978,6.42959,0,67.67081,79.56271,2.323495,605.2393015,605.2393015,0.001247688,365.8620519,365.8620519,0.000716464,89.99989,89.99989,34.76277528,114.0511,0.000215957
0.6499997,S,0.6499997,0.3336775,0,0.2869107,4422.204857,994.1512,22.58329362,49.78764,6.648657,0,67.65488,79.56271,2.326606,605.9032178,605.9032178,0.001250086,371.921084,371.921084,0.000728965,89.99989,89.99989,35.89641792,117.7704,0.000223184
0.6599997,S,0.6599997,0.339208,0,0.2869772,4423.163448,994.3667,22.55964332,49.7355,6.871664,0,67.63895,79.56271,2.329718,606.5661169,606.5661169,0.001252468,377.986745,377.986745,0.00074149,89.99989,89.99989,37.04850096,121.5502,0.000230537
0.6699997,S,0.6699997,0.3447449,0,0.2870439,4424.12293,994.5824,22.53598394,49.68334,7.098621,0,67.62303,79.56271,2.332829,607.2281258,607.2281258,0.001254834,384.0590261,384.0590261,0.000754038,89.99989,89.99989,38.21911584,125.3908,0.000238014
0.6799996,S,0.6799996,0.350288,0,0.2871107,4425.083301,994.7983,22.51232003,49.63117,7.329544,0,67.6071,79.56271,2.335941,607.8891811,607.8891811,0.001257184,390.1379178,390.1379178,0.00076661,89.99989,89.99989,39.40826256,129.2922,0.000245617
0.6899996,S,0.6899996,0.3558373,0,0.2871775,4426.044562,995.0144,22.48865158,49.57899,7.564441,0,67.59118,79.56271,2.339052,608.5492906,608.5492906,0.001259519,396.2234106,396.2234106,0.000779205,89.99989,89.99989,40.61594112,133.2544,0.000253347
0.6999996,S,0.6999996,0.3613929,0,0.2872445,4427.006712,995.2307,22.46497859,49.5268,7.803326,0,67.57526,79.56271,2.342164,609.2086054,609.2086054,0.001261839,402.3154965,402.3154965,0.000791823,89.99989,89.99989,41.84221248,137.2776,0.000261202
0.7099996,S,0.7099996,0.3669548,0,0.2873116,4427.969307,995.4471,22.44130107,49.4746,8.046213,0,67.55933,79.56271,2.345275,609.8667917,609.8667917,0.001264145,408.4141643,408.4141643,0.000804465,89.99989,89.99989,43.08704616,141.3617,0.000269183
0.7199996,S,0.7199996,0.3725229,0,0.2873787,4428.933237,995.6638,22.41761901,49.42239,8.293113,0,67.5434,79.56271,2.348387,610.5241912,610.5241912,0.001266436,414.519406,414.519406,0.000817129,89.99989,89.99989,44.35050312,145.5069,0.000277291
0.7299996,S,0.7299996,0.3780973,0,0.287446,4429.898056,995.8807,22.39392788,49.37016,8.54404,0,67.52748,79.56271,2.351498,611.1805973,611.1805973,0.001268714,420.6312119,420.6312119,0.000829816,89.99989,89.99989,45.63258336,149.7132,0.000285526
0.7399996,S,0.7399996,0.3836779,0,0.2875134,4430.86332,996.0977,22.37023675,49.31793,8.799004,0,67.51155,79.56271,2.35461,611.8357795,611.8357795,0.001270978,426.7495695,426.7495695,0.000842526,89.99989,89.99989,46.93331736,153.9807,0.000293888
0.7499996,S,0.7499996,0.3892647,0,0.2875808,4431.829029,996.3148,22.34654109,49.26569,9.058014,0,67.49563,79.56271,2.357721,612.4900955,612.4900955,0.001273229,432.8744704,432.8744703,0.000855258,89.99989,89.99989,48.2527356,158.3095,0.000302376
0.7599996,S,0.7599996,0.3948578,0,0.2876484,4432.796072,996.5322,22.32283635,49.21343,9.321091,0,67.47971,79.56271,2.360833,613.1434578,613.1434578,0.001275466,439.0059048,439.0059048,0.000868013,89.99989,89.99989,49.5908076,162.6995,0.000310993
0.7699996,S,0.7699996,0.4004571,0,0.2877161,4433.764005,996.7498,22.29913161,49.16117,9.588238,0,67.46378,79.56271,2.363944,613.7956995,613.7956995,0.001277692,445.1438616,445.1438616,0.00088079,89.99989,89.99989,50.9476248,167.151,0.000319737
0.7799996,S,0.7799996,0.4060625,0,0.2877839,4434.732383,996.9675,22.2754178,49.10889,9.859471,0,67.44785,79.56271,2.367056,614.4470114,614.4470114,0.001279905,451.2883316,451.2883316,0.000893589,89.99989,89.99989,52.32312624,171.6638,0.000328609
0.7899995,S,0.7899995,0.4116742,0,0.2878518,4435.701651,997.1854,22.25169946,49.0566,10.1348,0,67.43193,79.56271,2.370167,615.0971471,615.0971471,0.001282106,457.439303,457.439303,0.00090641,89.99989,89.99989,53.71740336,176.2382,0.000337609
0.7999995,S,0.7999995,0.4172921,0,0.2879198,4436.671808,997.4035,22.22798111,49.00431,10.41425,0,67.41601,79.56271,2.373279,615.7463927,615.7463927,0.001284294,463.5967667,463.5967667,0.000919253,89.99989,89.99989,55.13045616,180.8742,0.000346737
0.8099995,S,0.8099995,0.4229163,0,0.2879879,4437.642855,997.6218,22.2042537,48.952,10.69781,0,67.40008,79.56271,2.37639,616.3944303,616.3944303,0.001286472,469.7607109,469.7607109,0.000932118,89.99989,89.99989,56.56228464,185.5718,0.000355994
0.8199995,S,0.8199995,0.4285466,0,0.288056,4438.614346,997.8402,22.18052174,48.89968,10.98551,0,67.38416,79.56271,2.379502,617.0415063,617.0415063,0.001288637,475.9311258,475.9311258,0.000945004,89.99989,89.99989,58.01291928,190.3311,0.00036538
0.8299995,S,0.8299995,0.4341831,0,0.2881243,4439.587172,998.0589,22.15678525,48.84735,11.27735,0,67.36823,79.56271,2.382613,617.6875014,617.6875014,0.001290792,482.1080007,482.1080007,0.000957912,89.99989,89.99989,59.48239056,195.1522,0.000374894
0.8399995,S,0.8399995,0.4398258,0,0.2881927,4440.560443,998.2777,22.13304423,48.79501,11.57336,0,67.3523,79.56271,2.385725,618.3323442,618.3323442,0.001292935,488.291324,488.291324,0.000970841,89.99989,89.99989,60.97069848,200.0351,0.000384538
0.8499995,S,0.8499995,0.4454746,0,0.2882612,4441.534604,998.4967,22.10929867,48.74266,11.87352,0,67.33638,79.56271,2.388836,618.9759711,618.9759711,0.001295067,494.4810836,494.4810836,0.000983792,89.99989,89.99989,62.47787352,204.9799,0.000394311
0.8599995,S,0.8599995,0.4511297,0,0.2883298,4442.509654,998.7159,22.08554404,48.69029,12.17788,0,67.32046,79.56271,2.391948,619.6185966,619.6185966,0.00129719,500.6772694,500.6772694,0.000996764,89.99989,89.99989,64.00394616,209.9867,0.000404214
0.8699995,S,0.8699995,0.4567909,0,0.2883985,4443.485149,998.9352,22.0617894,48.63792,12.48642,0,67.30453,79.56271,2.395059,620.2601413,620.2601412,0.001299301,506.8798707,506.8798707,0.001009757,89.99989,89.99989,65.5489164,215.0555,0.000414246
0.8799995,S,0.8799995,0.4624583,0,0.2884673,4444.461978,999.1548,22.03803024,48.58554,12.79917,0,67.2886,79.56271,2.398171,620.9005018,620.9005018,0.001301402,513.0888756,513.0888756,0.001022771,89.99989,89.99989,67.11281472,220.1864,0.000424409
0.8899994,S,0.8899994,0.4681318,0,0.2885362,4445.439697,999.3746,22.014262,48.53314,13.11613,0,67.27268,79.56271,2.401282,621.5395748,621.5395748,0.001303492,519.3042712,519.3042712,0.001035806,89.99989,89.99989,68.69564112,225.3794,0.000434702
0.8999994,S,0.8999994,0.4738114,0,0.2886052,4446.417861,999.5945,21.99049376,48.48074,13.43732,0,67.25675,79.56271,2.404394,622.177726,622.177726,0.001305574,525.5260483,525.5260483,0.001048862,89.99989,89.99989,70.29745656,230.6347,0.000445125
0.9099994,S,0.9099994,0.4794973,0,0.2886743,4447.396915,999.8146,21.96671644,48.42832,13.76275,0,67.24083,79.56271,2.407505,622.8146056,622.8146056,0.001307644,531.7541942,531.7541942,0.001061938,89.99989,89.99989,71.91823056,235.9522,0.000455679
0.9199994,S,0.9199994,0.4851892,0,0.2887435,4448.377303,1000.035,21.9429346,48.37589,14.09243,0,67.22491,79.56271,2.410617,623.4502216,623.4502216,0.001309705,537.9886963,537.9886963,0.001075035,89.99989,89.99989,73.55802408,241.3321,0.000466364
0.9299994,S,0.9299994,0.4908873,0,0.2888128,4449.355912,1000.255,21.91915275,48.32346,14.42637,0,67.20898,79.56271,2.413728,624.0848124,624.0848124,0.001311757,544.2295443,544.2295443,0.001088153,89.99989,89.99989,75.21683712,246.7744,0.00047718
0.9399994,S,0.9399994,0.4965914,0,0.2888822,4450.338969,1000.476,21.89536183,48.27101,14.76459,0,67.19305,79.56271,2.41684,624.718084,624.718084,0.0013138,550.476725,550.476725,0.001101291,89.99989,89.99989,76.89466968,252.2791,0.000488127
0.9499994,S,0.9499994,0.5023018,0,0.2889517,4451.322026,1000.697,21.87156637,48.21855,15.10708,0,67.17713,79.56271,2.419951,625.3501476,625.3501476,0.001315833,556.7302263,556.7302263,0.001114449,89.99989,89.99989,78.59158272,257.8464,0.000499206
0.9599994,S,0.9599994,0.5080181,0,0.2890213,4452.305083,1000.918,21.84776638,48.16608,15.45387,0,67.1612,79.56271,2.423063,625.9809475,625.9809475,0.001317856,562.9900357,562.9900356,0.001127628,89.99989,89.99989,80.30757624,263.4763,0.000510416
0.9699994,S,0.9699994,0.5137407,0,0.289091,4453.884201,1001.273,21.82396185,48.1136,15.80497,0,67.14528,79.56271,2.426174,626.6999862,626.6999862,0.00132005,569.2570354,569.2570354,0.001140828,89.99989,89.99989,82.04268072,269.1689,0.000521759
0.9799994,S,0.9799994,0.5194701,0,0.2891608,4456.059382,1001.762,21.80015279,48.06111,16.16043,0,67.12936,79.56271,2.429286,627.5074066,627.5074066,0.001322415,575.5321093,575.5321093,0.001154052,89.99989,89.99989,83.79689616,274.9242,0.000533233
0.9899994,S,0.9899994,0.5252073,0,0.2892308,4458.230114,1002.25,21.77633012,48.00859,16.52033,0,67.11343,79.56271,2.432397,628.3140164,628.3140164,0.001324772,581.8152493,581.8152493,0.0011673,89.99989,89.99989,85.57028352,280.7424,0.00054484
0.9999993,S,0.9999993,0.5309522,0,0.2893008,4460.409742,1002.74,21.75249838,47.95605,16.88468,0,67.0975,79.56271,2.435508,629.1199427,629.1199427,0.001327122,588.1064486,588.1064486,0.001180571,89.99989,89.99989,87.36281232,286.6234,0.000556579
1.009999,S,1.009999,0.5367047,0,0.289371,4462.584923,1003.229,21.72865302,47.90348,17.25349,0,67.08158,79.56271,2.43862,629.9250505,629.9250505,0.001329465,594.405699,594.405699,0.001193866,89.99989,89.99989,89.174574,292.5675,0.000568452
1.019999,S,1.019999,0.542465,0,0.2894413,4464.764551,1003.719,21.7047986,47.85089,17.62677,0,67.06566,79.56271,2.441731,630.729451,630.729451,0.001331801,600.7129933,600.7129933,0.001207184,89.99989,89.99989,91.00553808,298.5746,0.000580457
