Time (sec),Mach Number,Weight (kg),Stability Margin (cal),Altitude (m)
0.9799994,0.5194701,21.80015279,2.429286,83.79689616
0.9899994,0.5252073,21.77633012,2.432397,85.57028352
0.9999993,0.5309522,21.75249838,2.435508,87.36281232
1.009999,0.5367047,21.72865302,2.43862,89.174574
1.019999,0.542465,21.7047986,2.441731,91.00553808
1.029999,0.5482331,21.68093511,2.444843,92.85576552
1.039999,0.5540088,21.657058,2.447954,94.72525632
1.049999,0.5597922,21.63316729,2.451066,96.61407144
1.059999,0.5655833,21.60926751,2.454178,98.5221804
1.069999,0.5713822,21.58535866,2.457289,100.4496442
1.079999,0.5771887,21.5614362,2.460401,102.3964627
1.089999,0.583003,21.53750013,2.463512,104.362697
1.099999,0.5888249,21.51355952,2.466624,106.3483471
1.109999,0.5946547,21.48960077,2.469735,108.3534434
1.119999,0.6004921,21.46563295,2.472847,110.3780165
1.129999,0.6063374,21.44165606,2.475958,112.4220662
1.139999,0.6121904,21.41766556,2.479069,114.4856537
1.149999,0.618051,21.39366599,2.482181,116.5687788
1.159999,0.6239194,21.36965281,2.485292,118.6714416
1.169999,0.6297954,21.34563056,2.488404,120.7937335
1.179999,0.6356791,21.3215947,2.491515,122.9356241
1.189999,0.6415704,21.29754976,2.494627,125.0971438
1.199999,0.6474695,21.27349576,2.497738,127.278323
1.209999,0.6533762,21.24942815,2.50085,129.4791924
1.219999,0.6592906,21.22534693,2.503961,131.6997823
1.229999,0.6652126,21.20125664,2.507073,133.9401233
1.239999,0.6711423,21.17715274,2.510185,136.2001848
1.249999,0.6770796,21.15304431,2.513296,138.4800583
1.259999,0.6830246,21.12891773,2.516407,140.7797438
1.269999,0.6889772,21.10478208,2.519519,143.0992414
1.279999,0.6949375,21.08063736,2.52263,145.4385814
1.289999,0.7009054,21.05647903,2.525742,147.7978248
1.299999,0.7068809,21.03230709,2.528853,150.1769717
1.309999,0.7128641,21.00812608,2.531965,152.576022
1.319999,0.7188549,20.983936,2.535076,154.9950367
1.329999,0.7248533,20.95973231,2.538188,157.4340158
1.339999,0.7308593,20.93551501,2.541299,159.8929898
1.349999,0.7368729,20.91129318,2.544411,162.3719892
1.359999,0.7428941,20.88705774,2.547522,164.8710444
1.369999,0.7489229,20.86280869,2.550634,167.3901554
1.379999,0.7549593,20.83855057,2.553745,169.9293528
1.389999,0.7610034,20.81427885,2.556857,172.4886974
1.399999,0.7670549,20.78999805,2.559968,175.0681284
1.409999,0.7731141,20.76570817,2.56308,177.6677676
1.419999,0.7791808,20.7414047,2.566191,180.2875541
1.429999,0.7852551,20.71708761,2.569303,182.9275793
1.439999,0.791337,20.69276145,2.572414,185.5878127
1.449999,0.7974263,20.66842168,2.575526,188.2683154
1.459999,0.8035233,20.64407284,2.578637,190.9690567
1.469999,0.8096278,20.6197104,2.581749,193.6901587
1.479999,0.8157398,20.59533888,2.58486,196.4315299
1.489999,0.8218595,20.57095829,2.587972,199.1932922
1.499999,0.8279865,20.54656409,2.591083,201.9754152
1.509999,0.8341211,20.52215629,2.594195,204.7779293
1.519999,0.8402632,20.49774395,2.597306,207.6008345
1.529999,0.8464129,20.47331346,2.600418,210.4441918
1.539999,0.85257,20.4488739,2.603529,213.3080316
1.549999,0.8587347,20.42442074,2.606641,216.1923235
1.559999,0.8649067,20.39996304,2.609752,219.097159
1.569999,0.8710863,20.37549173,2.612864,222.0225074
1.579999,0.8772733,20.35100681,2.615975,224.9683994
1.589999,0.8834679,20.32651283,2.619087,227.9348959
1.599999,0.8896699,20.30200523,2.622198,230.9219664
1.609999,0.8958793,20.27748856,2.62531,233.9296718
1.619999,0.9020962,20.25295829,2.619996,236.9580122
1.629999,0.9083204,20.22841894,2.598093,240.0070181
