Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP_m,CP (0 to 4 deg),Reynolds Number
20.39,0,0.114247124,0.114247124,0.112546725,0.114247124,0.112546725,0,0,0,0,5.943386626,43.43594423,1.103272983,43.10071644,882293400
20.4,0,0.114241272,0.114241272,0.11254248,0.114241272,0.11254248,0,0,0,0,5.941923607,43.43202971,1.103173555,43.09754082,882726100
20.41,0,0.114235432,0.114235432,0.112538246,0.114235432,0.112538246,0,0,0,0,5.940461212,43.42810116,1.103073769,43.09435422,883158800
20.42,0,0.114229591,0.114229591,0.112534008,0.114229591,0.112534008,0,0,0,0,5.939000959,43.42418924,1.102974407,43.0911812,883591600
20.43,0,0.114223754,0.114223754,0.112529773,0.114223754,0.112529773,0,0,0,0,5.937541438,43.42026284,1.102874676,43.08799685,884024300
20.44,0,0.114217932,0.114217932,0.11252555,0.114217932,0.11252555,0,0,0,0,5.936084288,43.41635072,1.102775308,43.08482421,884457000
20.45,0,0.114212106,0.114212106,0.112521321,0.114212106,0.112521321,0,0,0,0,5.934627778,43.41243023,1.102675728,43.08164511,884889700
20.46,0,0.114206297,0.114206297,0.112517105,0.114206297,0.112517105,0,0,0,0,5.933173405,43.40852064,1.102576424,43.07847503,885322400
20.47,0,0.114200492,0.114200492,0.112512892,0.114200492,0.112512892,0,0,0,0,5.931719801,43.40460827,1.10247705,43.07530294,885755100
20.48,0,0.114194691,0.114194691,0.112508682,0.114194691,0.112508682,0,0,0,0,5.930267583,43.40069523,1.102377659,43.07213059,886187800
20.49,0,0.114188897,0.114188897,0.112504475,0.114188897,0.112504475,0,0,0,0,5.928816791,43.39678011,1.102278215,43.06895684,886620500
20.5,0,0.114183109,0.114183109,0.112500272,0.114183109,0.112500272,0,0,0,0,5.927367423,43.3928684,1.102178857,43.06578608,887053200
20.51,0,0.114177325,0.114177325,0.112496071,0.114177325,0.112496071,0,0,0,0,5.925919629,43.38896198,1.102079634,43.06261981,887486000
20.52,0,0.114171557,0.114171557,0.112491885,0.114171557,0.112491885,0,0,0,0,5.924472466,43.3850528,1.101980341,43.05945156,887918700
20.53,0,0.114165795,0.114165795,0.112487701,0.114165795,0.112487701,0,0,0,0,5.923027566,43.38114892,1.101881183,43.05628786,888351400
20.54,0,0.114160027,0.114160027,0.11248351,0.114160027,0.11248351,0,0,0,0,5.921584005,43.37724696,1.101782073,43.05312595,888784100
20.55,0,0.114154276,0.114154276,0.112479332,0.114154276,0.112479332,0,0,0,0,5.920141095,43.37333794,1.101682784,43.04995862,889216800
20.56,0,0.114148529,0.114148529,0.112475158,0.114148529,0.112475158,0,0,0,0,5.918699572,43.3694349,1.101583646,43.04679633,889649500
20.57,0,0.114142788,0.114142788,0.112470987,0.114142788,0.112470987,0,0,0,0,5.917260417,43.36553676,1.101484634,43.04363827,890082200
20.58,0,0.114137052,0.114137052,0.112466818,0.114137052,0.112466818,0,0,0,0,5.915821568,43.36163434,1.101385512,43.040477,890514900
20.59,0,0.114131322,0.114131322,0.112462653,0.114131322,0.112462653,0,0,0,0,5.914384637,43.35774096,1.10128662,43.03732323,890947600
20.6,0,0.114125597,0.114125597,0.112458492,0.114125597,0.112458492,0,0,0,0,5.912948836,43.35383994,1.101187535,43.03416361,891380400
20.61,0,0.114119888,0.114119888,0.112454343,0.114119888,0.112454343,0,0,0,0,5.91151449,43.34994281,1.101088547,43.03100737,891813100
20.62,0,0.114114173,0.114114173,0.112450187,0.114114173,0.112450187,0,0,0,0,5.910080867,43.34604912,1.100989648,43.0278541,892245800
20.63,0,0.114108474,0.114108474,0.112446045,0.114108474,0.112446045,0,0,0,0,5.908649396,43.34215463,1.100890728,43.02470049,892678400
20.64,0,0.114102781,0.114102781,0.112441906,0.114102781,0.112441906,0,0,0,0,5.907218785,43.33825881,1.100791774,43.02154605,893111200
20.65,0,0.114097092,0.114097092,0.112437769,0.114097092,0.112437769,0,0,0,0,5.905790002,43.33437042,1.100693009,43.01839783,893543900
20.66,0,0.114091399,0.114091399,0.112433626,0.114091399,0.112433626,0,0,0,0,5.904362058,43.33047616,1.100594095,43.01524517,893976600
20.67,0,0.114085721,0.114085721,0.112429496,0.114085721,0.112429496,0,0,0,0,5.902935541,43.32658719,1.100495315,43.01209698,894409300
20.68,0,0.114080058,0.114080058,0.112425379,0.114080058,0.112425379,0,0,0,0,5.90151107,43.32269974,1.100396573,43.00895031,894842000
20.69,0,0.114074392,0.114074392,0.112421256,0.114074392,0.112421256,0,0,0,0,5.900086715,43.31881251,1.100297838,43.00580401,895274800
20.7,0,0.114068738,0.114068738,0.112417144,0.114068738,0.112417144,0,0,0,0,5.898664254,43.31492971,1.100199215,43.00266153,895707500
20.71,0,0.114063082,0.114063082,0.112413027,0.114063082,0.112413027,0,0,0,0,5.897243364,43.3110493,1.100100652,42.99952124,896140100
20.72,0,0.114057441,0.114057441,0.112408923,0.114057441,0.112408923,0,0,0,0,5.895823669,43.30716392,1.100001963,42.99637722,896572800
20.73,0,0.114051794,0.114051794,0.112404811,0.114051794,0.112404811,0,0,0,0,5.894404874,43.30327934,1.099903295,42.99323409,897005500
20.74,0,0.114046163,0.114046163,0.112400712,0.114046163,0.112400712,0,0,0,0,5.892987489,43.29939641,1.099804669,42.99009254,897438300
20.75,0,0.114040537,0.114040537,0.112396617,0.114040537,0.112396617,0,0,0,0,5.891572153,43.29552158,1.099706248,42.98695774,897871000
20.76,0,0.114034916,0.114034916,0.112392524,0.114034916,0.112392524,0,0,0,0,5.890157366,43.29164381,1.099607753,42.98382082,898303700
20.77,0,0.114029309,0.114029309,0.112388444,0.114029309,0.112388444,0,0,0,0,5.888744015,43.28776712,1.099509285,42.98068503,898736400
20.78,0,0.114023699,0.114023699,0.112384358,0.114023699,0.112384358,0,0,0,0,5.88733208,43.28389299,1.099410882,42.97755154,899169200
20.79,0,0.114018094,0.114018094,0.112380276,0.114018094,0.112380276,0,0,0,0,5.885920881,43.28001329,1.099312338,42.97441383,899601900
20.8,0,0.114012503,0.114012503,0.112376204,0.114012503,0.112376204,0,0,0,0,5.884511785,43.27614192,1.099214005,42.97128308,900034500
20.81,0,0.114006909,0.114006909,0.112372128,0.114006909,0.112372128,0,0,0,0,5.883103933,43.27226861,1.099115623,42.96815103,900467200
20.82,0,0.114001329,0.114001329,0.112368064,0.114001329,0.112368064,0,0,0,0,5.881696722,43.26840141,1.099017396,42.96502407,900899900
20.83,0,0.113995755,0.113995755,0.112364003,0.113995755,0.112364003,0,0,0,0,5.880291053,43.26453113,1.098919091,42.96189493,901332600
20.84,0,0.113990184,0.113990184,0.112359944,0.113990184,0.112359944,0,0,0,0,5.878886683,43.26066197,1.098820814,42.95876695,901765400
20.85,0,0.11398462,0.11398462,0.11235589,0.11398462,0.11235589,0,0,0,0,5.877483543,43.25679564,1.098722609,42.95564147,902198100
20.86,0,0.113979061,0.113979061,0.112351837,0.113979061,0.112351837,0,0,0,0,5.87608194,43.25292907,1.098624398,42.95251607,902630800
20.87,0,0.113973507,0.113973507,0.112347789,0.113973507,0.112347789,0,0,0,0,5.874680943,43.24906351,1.098526213,42.9493917,903063500
20.88,0,0.113967968,0.113967968,0.112343753,0.113967968,0.112343753,0,0,0,0,5.873282223,43.24519999,1.09842808,42.94626926,903496100
20.89,0,0.113962424,0.113962424,0.112339711,0.113962424,0.112339711,0,0,0,0,5.871884788,43.24134426,1.098330144,42.94315329,903928900
20.9,0,0.113956894,0.113956894,0.11233568,0.113956894,0.11233568,0,0,0,0,5.870487787,43.2374766,1.098231906,42.94002802,904361600
20.91,0,0.113951361,0.113951361,0.112331643,0.113951361,0.112331643,0,0,0,0,5.869092178,43.23361913,1.098133926,42.93691114,904794300
20.92,0,0.113945842,0.113945842,0.112327619,0.113945842,0.112327619,0,0,0,0,5.867698101,43.22976425,1.098036012,42.9337966,905227000
20.93,0,0.113940328,0.113940328,0.112323597,0.113940328,0.112323597,0,0,0,0,5.866305246,43.22590377,1.097937956,42.93067784,905659700
20.94,0,0.113934819,0.113934819,0.112319579,0.113934819,0.112319579,0,0,0,0,5.864913089,43.22204488,1.09783994,42.92756058,906092500
20.95,0,0.113929315,0.113929315,0.112315564,0.113929315,0.112315564,0,0,0,0,5.863523152,43.21819153,1.097742065,42.92444804,906525200
20.96,0,0.113923818,0.113923818,0.112311553,0.113923818,0.112311553,0,0,0,0,5.862133643,43.21433758,1.097644174,42.92133523,906957800
20.97,0,0.113918334,0.113918334,0.112307554,0.113918334,0.112307554,0,0,0,0,5.860745529,43.21048626,1.097546351,42.91822479,907390500
20.98,0,0.113912844,0.113912844,0.112303547,0.113912844,0.112303547,0,0,0,0,5.859359472,43.20663972,1.097448649,42.91511845,907823200
